# 미국 실질 주택가격 지수 (1890=100) · Robert Shiller, Irrational Exuberance Fig 3-1 · 2026-08-23
# ⚠ 이미 물가를 뺀 «실질» 계열이다. 다른 실질 수익률과 바로 견줄 수 있다.
#   1953년 이전은 연 단위 자료를 그해 1월에 놓았다. 월별은 그 뒤부터다.
date,real_index
2004-12,178.408
2005-01,179.672
2005-02,180.643
2005-03,182.177
2005-04,183.624
2005-05,186.614
2005-06,189.237
2005-07,190.646
2005-08,191.664
2005-09,191.167
2005-10,192.007
2005-11,194.561
2005-12,195.823
2006-01,195.12
2006-02,195.451
2006-03,195.713
2006-04,195.016
2006-05,194.826
2006-06,194.618
2006-07,194.108
2006-08,193.514
2006-09,194.25
2006-10,195.156
2006-11,194.999
2006-12,194.283
2007-01,193.151
2007-02,191.864
2007-03,189.843
2007-04,188.552
2007-05,187.153
2007-06,186.438
2007-07,185.923
2007-08,185.484
2007-09,183.832
2007-10,181.809
2007-11,178.325
2007-12,176.587
2008-01,173.423
2008-02,171.014
2008-03,168.255
2008-04,166.663
2008-05,164.972
2008-06,162.853
2008-07,161.2
2008-08,160.444
2008-09,158.352
2008-10,157.252
2008-11,157.208
2008-12,155.262
2009-01,151.364
2009-02,148.856
2009-03,147.386
2009-04,147.448
2009-05,148.251
2009-06,148.602
2009-07,149.784
2009-08,149.369
2009-09,148.243
2009-10,147.069
2009-11,146.326
2009-12,145.322
2010-01,143.187
2010-02,141.227
2010-03,141.183
2010-04,142.711
2010-05,144.205
2010-06,144.999
2010-07,144.831
2010-08,143.518
2010-09,141.653
2010-10,140.031
2010-11,138.692
2010-12,137.292
2011-01,135.095
2011-02,133.17
2011-03,131.935
2011-04,132.394
2011-05,133.227
2011-06,134.556
2011-07,134.814
2011-08,133.917
2011-09,132.19
2011-10,130.802
2011-11,129.262
2011-12,128.162
2012-01,126.655
2012-02,125.938
2012-03,126.732
2012-04,128.774
2012-05,131.325
2012-06,133.496
2012-07,134.755
2012-08,134.402
2012-09,133.483
2012-10,133.174
2012-11,133.801
2012-12,134.075
2013-01,134.093
2013-02,133.786
2013-03,136.01
2013-04,138.919
2013-05,141.328
2013-06,143.344
2013-07,144.992
2013-08,145.832
2013-09,145.916
2013-10,146.185
2013-11,146.306
2013-12,146.242
2014-01,145.782
2014-02,145.703
2014-03,145.963
2014-04,147.091
2014-05,148.122
2014-06,149.22
2014-07,150.108
2014-08,150.643
2014-09,150.34
2014-10,150.421
2014-11,151.008
2014-12,151.689
2015-01,152.214
2015-02,151.903
2015-03,152.325
2015-04,153.716
2015-05,154.628
2015-06,155.524
2015-07,156.451
2015-08,157.07
2015-09,157.411
2015-10,157.487
2015-11,157.904
2015-12,158.422
2016-01,158.089
2016-02,158.18
2016-03,158.687
2016-04,159.631
2016-05,160.633
2016-06,161.503
2016-07,162.746
2016-08,163.164
2016-09,163.03
2016-10,162.893
2016-11,163.335
2016-12,163.434
2017-01,162.709
2017-02,162.521
2017-03,163.713
2017-04,164.992
2017-05,166.598
2017-06,167.957
2017-07,169.162
2017-08,169.385
2017-09,168.899
2017-10,169.237
2017-11,169.549
2017-12,169.992
2018-01,169.302
2018-02,169.216
2018-03,170.265
2018-04,171.336
2018-05,172.19
2018-06,173.269
2018-07,174.029
2018-08,174.253
2018-09,174.09
2018-10,173.779
2018-11,174.139
2018-12,174.349
2019-01,173.597
2019-02,173.059
2019-03,173.222
2019-04,173.911
2019-05,174.931
2019-06,175.93
2019-07,176.265
2019-08,176.573
2019-09,176.583
2019-10,176.256
2019-11,176.465
2019-12,176.734
2020-01,176.185
2020-02,176.383
2020-03,178.408
2020-04,181.317
2020-05,182.356
2020-06,182.464
2020-07,182.995
2020-08,184.462
2020-09,186.47
2020-10,188.871
2020-11,191.05
2020-12,192.558
2021-01,193.441
2021-02,194.642
2021-03,197.308
2021-04,200.184
2021-05,203.06
2021-06,205.699
2021-07,208.11
2021-08,210.243
2021-09,211.745
2021-10,211.715
2021-11,212.51
2021-12,213.839
2022-01,214.628
2022-02,216.639
2022-03,219.617
2022-04,223.339
2022-05,224.405
2022-06,222.647
2022-07,221.81
2022-08,219.375
2022-09,216.598
2022-10,214.45
2022-11,213.338
2022-12,212.187
2023-01,209.35
