일자,기관_순매수_원,개인_순매수_원,외국인_순매수_원,기타법인_순매수_원
2024-10-07,85602156868,-146227772849,29034547534,31591068447
2024-10-08,-349792768409,697750579923,-376603625021,28645813507
2024-10-10,-295513377764,147663161495,160662672339,-12812456070
2024-10-11,277514506450,284926485415,-596310700164,33869708299
2024-10-14,328183460825,-456192690431,90442032953,37567196653
2024-10-15,11749081731,-343638531900,287808619342,44080830827
2024-10-16,-40039265717,653521169121,-657439358842,43957455438
2024-10-17,200733176226,161464764275,-404448779625,42250839124
2024-10-18,95039623765,359049281592,-477783920768,23695015411
2024-10-21,268299786991,-268391909854,18689669392,-18597546529
2024-10-22,-307339899033,567207118695,-280776348551,20909128889
2024-10-23,299046277243,-514135885833,211587850157,3501758433
2024-10-24,-53362209119,625365391249,-604193793697,32190611567
2024-10-25,76930960114,297287764139,-387187327704,12968603451
2024-10-28,466329623755,-335636677033,-139149932066,8456985344
2024-10-29,17788629516,109922429192,-119073421561,-8637637147
2024-10-30,41888818795,271122618887,-335805013834,22793576152
2024-10-31,331548012091,557133056330,-858274424201,-30406644220
2024-11-01,-188102839363,212738269933,-37628239659,12992809089
2024-11-04,341734557028,-383820595678,28423063279,13662975371
2024-11-05,-285679130903,388256601844,-143461810274,40884339333
2024-11-06,51976842753,1744126102,-102709168740,48988199885
2024-11-07,109774735179,-237609718184,107562779532,20272203473
2024-11-08,117505106488,-111807635622,-13078799708,7381328842
2024-11-11,-237953779478,676431971494,-482115100864,43636908848
2024-11-12,-31775256965,330930757419,-309698415907,10542915453
2024-11-13,-64236743277,651160289777,-628127165567,41203619067
2024-11-14,282308911722,-114243190559,-232061616202,63995895039
2024-11-15,-30246048235,37885068242,-61344790777,53705770770
2024-11-18,-17057516040,5295971890,-50332265209,62093809359
2024-11-19,458109590236,-169127223730,-330335810391,41353443885
2024-11-20,173660902999,-91038664034,-183666167317,101043928352
2024-11-21,296823436538,-125256570329,-259962285911,88395419702
2024-11-22,322612044800,-533187240164,116151967266,94423228098
2024-11-25,453148641951,-451456051400,-76773611063,75081020512
2024-11-26,-237358108453,186167741381,-67600393369,118790760441
2024-11-27,300428357388,-33034757659,-334396686262,67003086533
2024-11-28,310513252758,79756233267,-491391527088,101122041063
2024-11-29,50891883004,588152993953,-748289991699,109245114742
2024-12-02,389155225218,-320023091335,-130141451443,61009317560
2024-12-03,279573700365,-833758455862,564512256207,-10327500710
2024-12-04,16233457535,339821650307,-407964119359,51909011517
2024-12-05,56210085024,163662995078,-316443118315,96570038213
2024-12-06,825605577043,-581630312427,-284258264617,40283000001
2024-12-09,691610151433,-890887866937,104877528032,94400187472
2024-12-10,459595242775,-420978634102,-106673721263,68057112590
2024-12-11,176488914794,-122733897879,-141293986510,87538969595
2024-12-12,156307495040,-251962013078,-22687955830,118342473868
2024-12-13,139793998615,-82134947562,-174555966539,116896915486
2024-12-16,126762673,366771552852,-432146687084,65248371559
2024-12-17,156602372357,464712331575,-701242480684,79927776752
2024-12-18,133871724852,-468393282743,392184540472,-57662982581
2024-12-19,-509884826185,802366475118,-428774486152,136292837219
2024-12-20,-88317494048,789015526644,-818078479995,117380447399
2024-12-23,435171933953,-683638375514,144860998476,103605443085
2024-12-24,23902776124,-106850051501,-6623389234,89570664611
2024-12-26,185774794420,-324234764530,19863455137,118596514973
2024-12-27,-115903698813,225610035597,-171568640168,61862303384
2024-12-30,55731670240,-30624008629,-120480086126,95372424515
2025-01-02,-258874410234,414314011982,-238808156594,83368554846
2025-01-03,320434669266,-698474383288,280111930741,97927783281
2025-01-06,65352493071,-537025903119,366240428055,105432981993
2025-01-07,-42261436468,-204859770038,158655922238,88465284268
2025-01-08,109580929347,-385477969934,220899882401,54997158186
2025-01-09,-505599126176,-327023196650,748199460921,84422861905
2025-01-10,-397552126513,338109207814,-1560767087,61003685786
2025-01-13,25960951826,748555677036,-871743772221,97227143359
2025-01-14,-57985495095,299229341936,-294643676338,53399829497
2025-01-15,-258995317010,123099652010,56138744442,79756920558
2025-01-16,18979488995,-575708075975,624434647464,-67706060484
2025-01-17,-100657566276,286414640170,-233065044601,47307970707
2025-01-20,66439742491,276664348149,-416208092881,73104002241
2025-01-21,62040445683,53421460208,-173124729473,57662823582
2025-01-22,420825500684,-823193950261,350002226977,52366222600
2025-01-23,-203208485996,759570967501,-617365995846,61003514341
2025-01-24,43624234596,-383002909677,275148033604,64230641477
2025-01-31,285913588902,962045687957,-1167900441799,-80058835060
2025-02-03,-370422089516,1122017573951,-868868766049,117273281614
2025-02-04,123061858295,-293175378901,79901713570,90211807036
2025-02-05,31185815254,-192935265838,64537100741,97212349843
2025-02-06,161175589220,-605983406108,351596767077,93211049811
2025-02-07,-209862347061,330204748922,-238921877538,118579475677
2025-02-10,262648472716,-69984426123,-278637005116,85972958523
2025-02-11,243670762416,-469399102312,140153875725,85574464171
2025-02-12,-221735686441,-198187313204,372912249819,47010749826
2025-02-13,672980387114,-609604568118,-113833628350,50457809354
2025-02-14,366093225236,-65221006215,-321788789424,20916570403
2025-02-17,243084270421,-33570169570,-222835275993,13321175142
2025-02-18,164848051186,-188369596315,18509465879,5012079250
2025-02-19,776736685935,-1218619458109,392742348319,49140423855
2025-02-20,-107929438042,290715744783,-290360706365,107574399624
2025-02-21,118110536250,2781565209,-218064383571,97172282112
