# 국제 금 **현물** 시세 (USD/트로이온스, 일별) · XAU/USD
#   창구 — investing.com API(instrumentId 68). scripts/gold_spot.py 가 만든다.
#   ⚠ 직접 HTTP 는 403 이라 **Aside 브라우저**로만 받는다. cron 에서 못 돈다.
#   ⚠ **1985년 이전은 종가만 믿는다** — 시·고·저가 종가 복사다.
#      실측 flat 비율: 1980~84 100% · 1985~89 29% · 1990~94 3% · 1995~ 2%.
#      이 파일 전체 flat 비율 14.5%.
#   ⚠ 월별(금가격_월별_1833)은 현물, 일별(금가격_일별)은 COMEX 선물이다.
#      선물은 콘탱고로 현물보다 중앙 +0.5% 높다. 셋을 섞어 쓰지 않는다.
date,open,high,low,close
1986-11-07,409.57,408.62,408.62,408.62
1986-11-10,411.49,410.53,410.53,410.53
1986-11-11,407.39,403.84,403.84,403.84
1986-11-12,408.21,404.66,404.66,404.66
1986-11-13,408.07,406.98,406.98,406.98
1986-11-14,410.53,407.39,407.39,407.39
1986-11-17,395.93,390.74,390.74,390.74
1986-11-18,390.60,390.33,390.33,390.33
1986-11-19,392.92,392.51,392.51,392.51
1986-11-20,388.96,388.69,388.69,388.69
1986-11-21,390.74,382.82,382.82,382.82
1986-11-24,381.32,381.05,381.05,381.05
1986-11-25,384.87,383.78,383.78,383.78
1986-11-26,384.32,381.05,381.05,381.05
1986-11-27,383.23,382.82,382.82,382.82
1986-11-28,390.47,388.96,388.96,388.96
1986-12-01,400.43,391.01,391.01,391.01
1986-12-02,394.56,387.87,387.87,387.87
1986-12-03,393.47,391.69,391.69,391.69
1986-12-04,392.10,386.92,386.92,386.92
1986-12-05,388.42,387.19,387.19,387.19
1986-12-08,392.24,386.92,386.92,386.92
1986-12-09,389.10,386.10,386.10,386.10
1986-12-10,392.10,390.33,390.33,390.33
1986-12-11,389.51,387.74,387.74,387.74
1986-12-12,391.42,389.78,389.78,389.78
1986-12-15,395.11,393.88,393.88,393.88
1986-12-16,394.56,393.33,393.33,393.33
1986-12-17,393.47,391.29,391.29,391.29
1986-12-18,392.92,392.24,392.24,392.24
1986-12-19,394.97,391.15,391.15,391.15
1986-12-22,395.93,392.38,392.38,392.38
1986-12-23,393.74,388.69,388.69,388.69
