일자,티커,이름,거래소,시가,고가,저가,종가,거래량
20240426,SMH,반도체ETF2,NAS,212.53,218.6803,211.94,217.64,6365428.0
20240426,SOXX,반도체ETF,NAS,212.15,217.82,211.66,216.9,3812628.0
20240426,TSM,TSMC ADR,NYS,136.81,138.7399,135.945,138.3,9453393.0
20240429,AVGO,브로드컴,NAS,1344.08,1352.98,1325.695,1338.62,1337179.0
20240429,MU,마이크론,NAS,113.81,114.75,112.11,114.36,14419102.0
20240429,NVDA,엔비디아,NAS,875.95,879.92,852.66,877.57,38897076.0
20240429,QQQ,나스닥100,NAS,433.13,433.76,429.98,432.75,30022161.0
20240429,SMH,반도체ETF2,NAS,217.48,218.61,214.9,218.38,4817964.0
20240429,SOXX,반도체ETF,NAS,216.52,218.76,214.97,218.55,3247287.0
20240429,TSM,TSMC ADR,NYS,138.0,138.646,135.91,138.5,10025907.0
20240430,AVGO,브로드컴,NAS,1328.88,1348.35,1299.05,1300.27,2211336.0
20240430,MU,마이크론,NAS,114.18,116.28,112.93,112.96,14845577.0
20240430,NVDA,엔비디아,NAS,872.4,888.19,863.0,864.02,36370870.0
20240430,QQQ,나스닥100,NAS,431.15,432.56,424.51,424.59,43665934.0
20240430,SMH,반도체ETF2,NAS,217.34,219.62,214.09,214.09,4944785.0
20240430,SOXX,반도체ETF,NAS,217.6,220.0,213.93,213.99,3583507.0
20240430,TSM,TSMC ADR,NYS,137.94,139.7,137.26,137.34,10980630.0
20240501,AVGO,브로드컴,NAS,1278.33,1292.37,1241.345,1242.86,3095783.0
20240501,MU,마이크론,NAS,110.52,113.73,108.75,109.7,16686150.0
20240501,NVDA,엔비디아,NAS,850.77,860.0,812.5456,830.41,55986317.0
20240501,QQQ,나스닥100,NAS,423.15,430.14,420.66,421.52,52251707.0
20240501,SMH,반도체ETF2,NAS,211.14,214.54,206.1075,207.85,12945808.0
20240501,SOXX,반도체ETF,NAS,210.01,213.84,205.59,206.76,7023235.0
20240501,TSM,TSMC ADR,NYS,137.42,139.43,133.21,134.94,12573480.0
20240502,AVGO,브로드컴,NAS,1256.28,1264.45,1223.31,1238.57,2947968.0
20240502,MU,마이크론,NAS,111.74,112.41,109.43,112.33,15439203.0
20240502,NVDA,엔비디아,NAS,844.49,862.37,832.0,858.17,37789754.0
20240502,QQQ,나스닥100,NAS,425.3,427.81,420.63,426.9,36559007.0
20240502,SMH,반도체ETF2,NAS,211.37,212.74,207.31,212.03,6382549.0
20240502,SOXX,반도체ETF,NAS,210.3,212.16,206.52,211.41,3955489.0
20240502,TSM,TSMC ADR,NYS,135.6,136.74,133.22,136.23,9261896.0
20240503,AVGO,브로드컴,NAS,1259.0,1283.88,1247.14,1278.11,2489755.0
20240503,MU,마이크론,NAS,115.03,115.48,113.45,114.7,15564363.0
20240503,NVDA,엔비디아,NAS,877.89,892.81,870.4,887.89,39834072.0
20240503,QQQ,나스닥100,NAS,434.44,436.48,432.62,435.48,48515252.0
20240503,SMH,반도체ETF2,NAS,215.92,218.36,215.15,217.73,6379116.0
20240503,SOXX,반도체ETF,NAS,215.85,217.41,214.48,216.17,3467130.0
20240503,TSM,TSMC ADR,NYS,138.9,142.11,138.76,141.56,13264336.0
20240506,AVGO,브로드컴,NAS,1286.225,1310.77,1275.07,1310.31,1628708.0
20240506,MU,마이크론,NAS,119.78,121.3699,118.02,120.13,22538716.0
20240506,NVDA,엔비디아,NAS,893.9,922.2,890.55,921.4,37620255.0
20240506,QQQ,나스닥100,NAS,437.3,440.34,436.52,440.25,30227200.0
20240506,SMH,반도체ETF2,NAS,219.37,222.68,218.22,222.67,5343124.0
20240506,SOXX,반도체ETF,NAS,218.01,220.68,217.16,220.66,2441528.0
20240506,TSM,TSMC ADR,NYS,140.47,142.83,139.81,142.83,8601573.0
20240507,AVGO,브로드컴,NAS,1316.44,1318.99,1296.755,1303.11,1241283.0
20240507,MU,마이크론,NAS,120.15,121.41,119.18,119.21,12508334.0
20240507,NVDA,엔비디아,NAS,910.98,917.8099,890.11,905.54,43734161.0
20240507,QQQ,나스닥100,NAS,440.7,441.97,439.58,440.32,30996094.0
20240507,SMH,반도체ETF2,NAS,222.55,223.18,220.64,220.73,5067007.0
20240507,SOXX,반도체ETF,NAS,220.98,221.57,218.71,218.71,2859521.0
20240507,TSM,TSMC ADR,NYS,141.87,142.295,140.51,141.11,8682941.0
20240508,AVGO,브로드컴,NAS,1293.5,1337.905,1288.49,1325.37,1391764.0
20240508,MU,마이크론,NAS,118.302,120.47,118.22,119.32,10867910.0
20240508,NVDA,엔비디아,NAS,894.825,911.94,894.2,904.12,32572102.0
20240508,QQQ,나스닥100,NAS,437.67,441.48,437.55,440.06,24896723.0
20240508,SMH,반도체ETF2,NAS,218.95,221.86,218.7,221.4,5404255.0
20240508,SOXX,반도체ETF,NAS,216.6,219.13,216.37,218.92,3212177.0
20240508,TSM,TSMC ADR,NYS,141.11,144.26,140.8,143.6,10202348.0
20240509,AVGO,브로드컴,NAS,1317.83,1321.61,1302.0,1305.67,1216955.0
20240509,MU,마이크론,NAS,119.315,119.63,117.44,117.81,11524824.0
20240509,NVDA,엔비디아,NAS,905.29,910.72,882.31,887.47,37801268.0
20240509,QQQ,나스닥100,NAS,440.33,441.6,438.46,441.02,24580121.0
20240509,SMH,반도체ETF2,NAS,221.49,221.77,218.89,219.98,4023276.0
20240509,SOXX,반도체ETF,NAS,218.93,219.34,217.06,218.1,1874296.0
20240509,TSM,TSMC ADR,NYS,142.94,143.35,141.1301,142.79,8012668.0
