# 비트코인 일별 — 업비트 **KRW/BTC**. scripts/crypto_daily.py 가 만든다.
# ⚠⚠ **원화다. 달러가 아니다.** 환율로 곱해도 글로벌 달러 가격과 다르다 —
#   국내 프리미엄이 얹혀 있다. 달러 기준 수준(예: «6만 5,100달러»)을
#   말할 때 이 파일을 쓰지 말 것. 방향과 등락률에만 쓴다.
# ⚠ 창구가 짧을 수 있어 **덮어쓰지 않고 합친다.**
date,open,high,low,close,volume
2025-08-20,157180000,159565000,157100000,159149000,2727.86142009
2025-08-21,159237000,159900000,157280000,157737000,1847.53517619
2025-08-22,157737000,162688000,156647000,161176000,4664.40806155
2025-08-23,161176000,161505000,159000000,159705000,2060.86766667
2025-08-24,159705000,160272000,155870000,157603000,3176.28992534
2025-08-25,157603000,158000000,155346000,155887000,3819.33064734
2025-08-26,155887000,157367000,153952000,156661000,3552.50689797
2025-08-27,156660000,157200000,154800000,155534000,2350.77997787
2025-08-28,155532000,157787000,155211000,156737000,2013.93464698
2025-08-29,156737000,157080000,151100000,152262000,4115.55225326
2025-08-30,152262000,152267000,149704000,151734000,2520.85571363
2025-08-31,151734000,152960000,150447000,150700000,1959.31009288
2025-09-01,150700000,152789000,149000000,152419000,3300.43577475
2025-09-02,152419000,155445000,150984000,154850000,3105.80919904
2025-09-03,154850000,156000000,154032000,154890000,1807.37446996
2025-09-04,154890000,156515000,153093000,155410000,1797.96628742
2025-09-05,155337000,157853000,154502000,154930000,2532.15650086
2025-09-06,154930000,155629000,154231000,154325000,906.70280394
2025-09-07,154325000,155784000,154200000,155001000,865.70691336
2025-09-08,155001000,156838000,154592000,156048000,1395.68476034
2025-09-09,156048000,157200000,154697000,155450000,2239.43253491
2025-09-10,155451000,158800000,154950000,158561000,2323.17207851
2025-09-11,158562000,160400000,157777000,160375000,2457.40390156
2025-09-12,160395000,161794000,160000000,161101000,2344.78634593
2025-09-13,161110000,161369000,159461000,160536000,1734.61150961
2025-09-14,160536000,161200000,159899000,160338000,1312.94524159
2025-09-15,160338000,161791000,159500000,160705000,2106.26974077
2025-09-16,160705000,162334000,160125000,162167000,1772.099492
2025-09-17,162200000,163000000,160210000,161468000,2526.85829256
2025-09-18,161468000,163333000,161372000,162478000,2901.85195553
2025-09-19,162478000,163080000,161500000,162138000,2377.62260949
2025-09-20,162162000,162486000,162000000,162236000,1365.88594607
2025-09-21,162236000,162239000,161372000,161412000,1617.40636798
2025-09-22,161410000,161631000,159000000,160730000,4383.83384739
2025-09-23,160731000,161350000,158668000,159679000,1921.65686349
2025-09-24,159680000,161200000,159001000,160700000,1699.51363403
2025-09-25,160700000,161037000,158000000,158200000,3171.96113268
2025-09-26,158219000,159307000,157100000,158128000,2674.99978242
2025-09-27,158129000,158250000,157126000,157895000,1155.24151945
2025-09-28,157892000,160800000,157559000,160579000,1953.90545292
2025-09-29,160579000,163200000,159300000,162976000,2386.16263871
2025-09-30,162976000,163655000,161111000,162828000,2198.09307103
2025-10-01,162828000,168429000,162789000,168424000,3547.30294219
2025-10-02,168424000,170903000,167709000,170704000,3990.54848441
2025-10-03,170749000,174995000,169100000,173460000,3521.21957594
2025-10-04,173460000,174990000,172673000,174964000,4097.94313894
2025-10-05,174986000,178651000,174270000,177024000,5488.34546041
2025-10-06,177002000,178790000,176500000,177536000,4182.08043722
2025-10-07,177562000,178400000,174385000,175460000,5017.59963831
2025-10-08,175490000,178617000,175460000,178011000,4009.00389465
2025-10-09,177853000,179869000,176496000,177616000,4285.01805322
2025-10-10,177616000,178151000,165000000,172257000,8511.39339915
2025-10-11,172180000,173937000,166500000,170390000,5952.53215694
2025-10-12,170390000,174909000,168132000,173833000,4987.57384734
2025-10-13,173833000,175334000,170778000,171680000,3481.27263054
2025-10-14,171695000,172444000,168000000,170070000,3755.75448392
2025-10-15,170109000,170740000,168001000,168539000,2648.6428179
2025-10-16,168642000,170124000,164858000,165290000,3756.74255646
2025-10-17,165291000,166565000,159671000,163639000,5760.34988648
2025-10-18,163639000,164998000,162852000,163631000,1670.39102336
2025-10-19,163631000,165996000,161250000,164806000,2198.92937581
2025-10-20,164806000,167468000,163398000,165911000,2307.85120593
2025-10-21,165911000,169336000,162011000,163400000,3521.74275072
2025-10-22,163400000,164406000,162500000,163153000,2066.22338628
2025-10-23,163153000,166400000,163035000,165546000,1865.06901141
2025-10-24,165546000,167381000,164420000,165703000,2181.51085226
2025-10-25,165703000,166849000,165331000,166310000,950.79345291
2025-10-26,166330000,170000000,166104000,169514000,3568.59946968
