# 코스피 지수 일별 OHLC · 소스 FinanceDataReader · KS11 · 2026-09-05
일자,시가,고가,저가,종가,거래량
20140521,2003.48,2015.63,2001.74,2008.33,224090648.0
20140522,2015.41,2022.59,2011.6,2015.59,231079285.0
20140523,2013.09,2017.96,2011.76,2017.17,241806251.0
20140526,2016.21,2020.96,2008.14,2010.35,196575982.0
20140527,2014.87,2016.73,1988.44,1997.63,221791601.0
20140528,2000.26,2017.06,1997.89,2017.06,210650597.0
20140529,2020.67,2021.96,2009.23,2012.26,228538866.0
20140530,2015.37,2019.17,1994.96,1994.96,247324968.0
20140602,1998.81,2006.93,1995.69,2002.0,265590671.0
20140603,2006.31,2008.56,1990.72,2008.56,266745143.0
20140605,2007.2,2007.2,1986.95,1995.48,222091667.0
20140609,2004.73,2008.86,1986.53,1990.04,209610185.0
20140610,2000.89,2011.87,1996.21,2011.8,234933013.0
20140611,2009.51,2016.78,2006.73,2014.67,238048745.0
20140612,2013.6,2015.8,2003.57,2011.65,251876212.0
20140613,2005.55,2005.55,1984.04,1990.85,223112847.0
20140616,1986.86,1995.86,1985.3,1993.59,233603847.0
20140617,1994.89,2002.96,1991.53,2001.55,236597367.0
20140618,2002.26,2002.26,1987.03,1989.49,216850148.0
20140619,1994.23,1999.11,1985.89,1992.03,257886385.0
20140620,1990.71,1990.73,1965.12,1968.07,232659006.0
20140623,1975.1,1980.31,1971.61,1974.92,231738346.0
20140624,1976.24,1998.31,1976.24,1994.35,250605365.0
20140625,1992.69,1993.6,1980.78,1981.77,336654076.0
20140626,1983.0,1997.08,1982.48,1995.05,273508305.0
20140627,1990.9,1997.01,1983.88,1988.51,218844990.0
20140630,1996.13,2002.21,1992.65,2002.21,201128111.0
20140701,1993.29,1999.0,1987.89,1999.0,238870813.0
20140702,2008.0,2016.36,2002.4,2015.28,318423490.0
20140703,2015.99,2015.99,2007.86,2010.97,259913596.0
20140704,2018.35,2018.35,2005.84,2009.66,241513918.0
20140707,2007.53,2009.32,1998.03,2005.12,228338960.0
20140708,2003.55,2009.22,1997.87,2006.66,259356934.0
20140709,1997.57,2000.89,1992.42,2000.5,272746347.0
20140710,2004.63,2006.5,1999.96,2002.84,327639009.0
20140711,1988.93,1993.46,1985.53,1988.74,277018069.0
20140714,1998.26,2001.11,1993.57,1993.88,270389140.0
20140715,2004.93,2015.54,2004.49,2012.72,361201933.0
20140716,2015.67,2018.05,2008.99,2013.48,315167170.0
20140717,2020.52,2025.41,2018.77,2020.9,322694667.0
20140718,2007.12,2019.42,2006.01,2019.42,304521173.0
20140721,2028.02,2030.61,2016.42,2018.5,274627300.0
20140722,2021.18,2028.93,2017.76,2028.93,265888145.0
20140723,2032.73,2035.24,2025.0,2028.32,353510938.0
20140724,2032.94,2034.72,2021.22,2026.62,323590933.0
20140725,2030.04,2036.2,2027.33,2033.85,282769836.0
20140728,2035.96,2053.84,2035.96,2048.81,349018882.0
20140729,2054.03,2065.96,2053.41,2061.97,408767388.0
20140730,2064.47,2093.08,2062.88,2082.61,343285897.0
